Point;Latitude;Longitude
COVEN;52.234494;0.773074
COWLY;51.616111;-1.065000
CPT11;51.625408;-1.019092
CPT27;51.644444;-1.903333
CPT30;51.981753;-1.373964
CPT37;51.708595;-2.139617
CPT51;52.357318;-1.494614
CPT53;52.389967;-1.505197
CROFT;53.626944;-2.538889
CSL39;52.401111;2.271389
CSL47;52.394722;2.502500
CTM03;52.759319;-0.577883
CTM08;52.837808;-0.509231
CTM11;52.875981;-0.456061
CTM15;52.754999;-0.624103
CTM25;52.767767;-0.606458
CTM46;52.712442;-0.722806
CTM66;52.821547;-0.383728
CUMBO;55.942778;-3.958889
CUTEL;55.885833;2.374444
CWL01;53.032453;-0.458639
CWL06;53.058986;-0.327681
CWL09;53.030414;-0.237092
CWZ02;53.025517;-0.540453
CWZ15;53.026692;-0.526786
DAGGA;51.821944;0.794167
DAVOT;57.345000;-4.091389
DAWLY;50.574167;-3.463889
DCS19;54.942222;-3.737500
DCS20;55.055833;-3.345833
DCS36;55.140556;-4.100833
DCS37;54.227778;-2.706111
DCS47;54.002778;-2.808889
DCS53;53.911111;-2.742500
DDE01;56.452867;-3.067100
